name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
tucson,2025-05-01,87.7,59.9,75.2,84.3,59.9,74,19.7,14.5,0,0,0,,0,0,21.9,10.7,209.8,1010,1.1,9.9,382.8,33.1,10,10,2025-05-01T05:37:15,2025-05-01T19:05:10,0.13,Clear,Clear conditions throughout the day.,clear-day,"E8967,KAVQ,72274023160,KTUS,QPSA3,72274523109,KDMA,99999953131"
tucson,2025-05-02,87.9,59.3,75.2,84.4,59.3,74,20.2,14.1,0,0,0,,0,0,20.3,12.3,278.4,1008.7,1.1,9.9,385.1,33.3,10,10,2025-05-02T05:36:19,2025-05-02T19:05:53,0.17,Clear,Clear conditions throughout the day.,clear-day,"E8967,KAVQ,72274023160,KTUS,QPSA3,72274523109,KDMA,99999953131"
tucson,2025-05-03,89,61,76.5,85.4,61,75.1,19.8,14.3,0,0,0,,0,0,28,17.4,192.6,1008.7,2.1,9.9,372.3,32.2,10,10,2025-05-03T05:35:24,2025-05-03T19:06:36,0.2,Clear,Clear conditions throughout the day.,clear-day,"E8967,KAVQ,72274023160,KTUS,QPSA3,72274523109,KDMA,99999953131"
tucson,2025-05-04,79.6,62.5,71,79.6,62.5,71,30.5,22.9,0,0,0,,0,0,35.8,22.4,211.9,1003.6,28.9,9.9,324.2,27.9,10,10,2025-05-04T05:34:30,2025-05-04T19:07:19,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAVQ,72274023160,KTUS,QPSA3,72274523109,KDMA,99999953131"
tucson,2025-05-05,69.5,54.6,60.4,69.5,54.6,60.4,37.1,44.2,0.01,100,4.17,rain,0,0,32,16.4,282,1006.9,60.5,9.9,344.3,29.9,10,10,2025-05-05T05:33:37,2025-05-05T19:08:02,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KAVQ,72274023160,KTUS,QPSA3,72274523109,KDMA,99999953131"
tucson,2025-05-06,71.6,53.1,61.7,71.6,53.1,61.7,44.9,56.5,0.008,100,8.33,rain,0,0,20.6,10.2,331.8,1012.2,58.5,9.9,285.1,24.6,10,10,2025-05-06T05:32:45,2025-05-06T19:08:45,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KAVQ,72274023160,KTUS,QPSA3,72274523109,KDMA,99999953131"
tucson,2025-05-07,81.6,54.9,68.6,79.5,54.9,68.3,38,35.5,0,0,0,rain,0,0,37.1,26.1,299.9,1012.9,10.5,9.9,386.8,33.4,10,10,2025-05-07T05:31:54,2025-05-07T19:09:28,0.34,Clear,Clear conditions throughout the day.,clear-day,"E8967,KAVQ,72274023160,KTUS,QPSA3,72274523109,KDMA,99999953131"
tucson,2025-05-08,88.8,56.3,74.1,84.9,56.3,72.8,35,27.5,0,0,0,,0,0,21.9,13.3,311.3,1014.3,0,9.8,381.2,33.2,10,10,2025-05-08T05:31:05,2025-05-08T19:10:11,0.37,Clear,Clear conditions throughout the day.,clear-day,"E8967,KAVQ,72274023160,KTUS,QPSA3,72274523109,KDMA,99999953131"
tucson,2025-05-09,93.9,62.6,81.3,89.3,62.6,78.9,28.9,16.1,0,0,0,,0,0,31.1,18.2,104.6,1014.5,3.2,9.8,401.3,34.6,10,10,2025-05-09T05:30:17,2025-05-09T19:10:54,0.4,Clear,Clear conditions throughout the day.,clear-day,"E8967,KAVQ,72274023160,KTUS,QPSA3,72274523109,KDMA,99999953131"
tucson,2025-05-10,94,73.1,84.3,89.3,73.1,81.8,26.9,13.2,0,0,0,,0,0,37.7,19.4,104.6,1014.8,1.7,9.9,380.4,32.9,10,10,2025-05-10T05:29:30,2025-05-10T19:11:36,0.44,Clear,Clear conditions throughout the day.,clear-day,"E8967,KAVQ,72274023160,KTUS,QPSA3,72274523109,KDMA,99999953131"
tucson,2025-05-11,95.9,75.2,85.9,90.9,75.2,83.3,21.8,10,0,0,0,,0,0,32.2,21.5,100,1012.5,8.9,9.9,355.6,30.7,10,10,2025-05-11T05:28:44,2025-05-11T19:12:19,0.47,Clear,Clear conditions throughout the day.,clear-day,"KAVQ,72274023160,KTUS,QPSA3,72274523109,KDMA,99999953131"
tucson,2025-05-12,95.8,73.6,85.2,90.9,73.6,82.6,27.8,13,0,0,0,,0,0,35.3,22.5,205.6,1009.3,21.3,9.9,313.5,27,9,10,2025-05-12T05:28:00,2025-05-12T19:13:01,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAVQ,72274023160,KTUS,QPSA3,72274523109,KDMA,99999953131"
tucson,2025-05-13,90.1,71.9,81.1,86.1,71.9,79.7,21.6,12.4,0,0,0,,0,0,35.6,22,220.7,1007.8,25.1,9.9,222.2,19.2,10,10,2025-05-13T05:27:17,2025-05-13T19:13:43,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E8967,KAVQ,72274023160,KTUS,QPSA3,72274523109,KDMA,99999953131"
tucson,2025-05-14,81.7,61.6,71.8,80,61.6,71.5,17.3,14.4,0,0,0,,0,0,29.2,14,291.5,1009.2,0,9.9,398.1,34.2,10,10,2025-05-14T05:26:35,2025-05-14T19:14:25,0.57,Clear,Clear conditions throughout the day.,clear-day,"E8967,KAVQ,72274023160,KTUS,QPSA3,72274523109,KDMA,99999953131"
tucson,2025-05-15,84.2,56.5,71.6,81.4,56.5,70.8,12.2,11.6,0,0,0,,0,0,22.1,10.5,261.4,1011,0.6,9.9,400.5,34.7,10,10,2025-05-15T05:25:54,2025-05-15T19:15:07,0.61,Clear,Clear conditions throughout the day.,clear-day,"E8967,KAVQ,72274023160,KTUS,QPSA3,72274523109,KDMA,99999953131"
tucson,2025-05-16,91.3,59.6,76.8,87.3,59.6,75.1,10.2,9.2,0,0,0,,0,0,19.7,10.6,207.8,1010.4,0.6,9.9,401.4,34.7,10,10,2025-05-16T05:25:15,2025-05-16T19:15:49,0.64,Clear,Clear conditions throughout the day.,clear-day,"E8967,KAVQ,72274023160,KTUS,QPSA3,72274523109,KDMA,99999953131"
tucson,2025-05-17,89.3,62.6,77.6,85.7,62.6,76.2,14.4,11,0,0,0,,0,0,31.1,16.8,205.5,1009.4,3.4,9.9,401.4,34.7,10,10,2025-05-17T05:24:37,2025-05-17T19:16:30,0.68,Clear,Clear conditions throughout the day.,clear-day,"E8967,KAVQ,72274023160,KTUS,QPSA3,72274523109,KDMA,99999953131"
tucson,2025-05-18,83.5,65.8,74.7,80.7,65.8,74.1,24.7,15.8,0,0,0,,0,0,31.1,15.4,265,1008.3,0,9.9,396.5,34.2,10,10,2025-05-18T05:24:01,2025-05-18T19:17:11,0.71,Clear,Clear conditions throughout the day.,clear-day,"E8967,KAVQ,72274023160,KTUS,QPSA3,72274523109,99999953131,KDMA"
tucson,2025-05-19,87.2,60.1,75,83.7,60.1,73.8,23.5,16.4,0,0,0,,0,0,30.7,17.2,272.1,1010.4,0.6,9.9,400.6,34.5,10,10,2025-05-19T05:23:26,2025-05-19T19:17:51,0.75,Clear,Clear conditions throughout the day.,clear-day,"E8967,KAVQ,72274023160,KTUS,QPSA3,72274523109,KDMA,99999953131"
tucson,2025-05-20,92.5,60.1,78.4,88.3,60.1,76.6,12.2,9,0,0,0,,0,0,19.7,11.5,229.8,1011.4,0,9.9,397,34.2,10,10,2025-05-20T05:22:53,2025-05-20T19:18:32,0.75,Clear,Clear conditions throughout the day.,clear-day,"E8967,KAVQ,72274023160,KTUS,QPSA3,72274523109,KDMA,99999953131"
tucson,2025-05-21,98.8,64.8,83.4,93.2,64.8,80.7,13.6,7.8,0,0,0,,0,0,19,12.2,227.7,1011.4,0.6,9.9,383.8,33.1,10,10,2025-05-21T05:22:21,2025-05-21T19:19:12,0.82,Clear,Clear conditions throughout the day.,clear-day,"E8967,KAVQ,72274023160,KTUS,QPSA3,72274523109,99999953131,KDMA"
tucson,2025-05-22,101.2,67.5,86.5,95.1,67.5,83.5,17.5,8.5,0,0,0,,0,0,26.8,16.2,220.9,1011,0.6,9.9,397.6,34.3,10,10,2025-05-22T05:21:50,2025-05-22T19:19:51,0.85,Clear,Clear conditions throughout the day.,clear-day,"E8967,KAVQ,72274023160,KTUS,QPSA3,72274523109,KDMA,99999953131"
